确认方,需要确认的事项,建议负责人,确认结果,确认日期,备注
管理层,是否同意使用专用邮箱和每月固定发送简报,CEO/CFO,待确认,,确认后开发按默认方案执行
管理层,是否确认 CEO/CFO 只看简版 HTML 月报,CEO/CFO,待确认,,不看单笔费用明细
管理层,是否确认不把前端确认和人工搬运作为长期流程,CEO/CFO,待确认,,只处理异常和预警
会计,是否能每月导出 Excel 或 CSV 研发费用明细账,会计负责人,待确认,,用于邮件附件导入
会计,会计系统是否支持 API 定时邮件报表订阅或自动导出,会计负责人,待确认,,优先找接口方案
会计,真实账表列名是否已按附件字段映射确认表完成映射,会计负责人,待确认,,字段不一致时以映射表为准
项目负责人,是否确认张英审核不确定记录,张英,待确认,,重点审核人员费用分摊和项目归属
IT或邮箱管理员,专用邮箱是否已创建并可正常收发,邮箱管理员,待确认,,建议使用 subsidy-ledger@synbiome.cn
IT或邮箱管理员,授权密码是否只配置到腾讯云环境变量,邮箱管理员,待确认,,不得通过微信或 GitHub 传递
IT或邮箱管理员,是否确认邮箱或云存储可作为自动投递入口,邮箱管理员/IT,待确认,,避免每月人工上传
实施负责人,测试邮件是否能完成端到端验收,开发/实施,待确认,,按邮件闭环测试验收流程执行
最终上线确认,上线前检查清单是否全部勾选,管理层/实施,待确认,,未完成前不能称为自动运行
