确认事项,推荐默认值,负责人,当前状态,需要的证据,备注
专用邮箱,subsidy-ledger@synbiome.cn,管理层/IT,待确认,邮箱已创建且可登录,不建议长期用个人邮箱
邮箱授权密码,放入腾讯云环境变量,管理层/IT,待确认,已生成授权密码且未发到群里,不能写进网页文件或 GitHub
会计真实样表,按会计研发费用明细样表.csv 字段导出,会计,待确认,收到一份真实 Excel 或 CSV,用于字段映射和导入测试
月报收件人,yin.chen@synbiome.cn;yin.zhang@synbiome.cn;108234704@qq.com,管理层,待确认,确认最终收件人列表,可后续增加 CFO 或项目负责人
发送时间,每月 6 日上午 9 点,管理层,待确认,确认发送日和时间,建议在会计完成上月账后发送
审核人,张英,管理层/项目负责人,待确认,确认张英负责不确定记录审核,人员费用和项目归属由负责人判断
附件格式,Excel 或 CSV,会计,待确认,确认账套可导出 xlsx 或 csv,第一版不支持 PDF 图片和压缩包
管理层页面,只看 HTML 简报不看明细,管理层,待确认,确认 CEO/CFO 不需要明细表,明细留后台处理
字段映射,按附件字段映射确认表.csv 确认,会计/开发,待确认,真实账表列名已经映射到系统字段,避免系统解析时靠猜
管理层样张,管理层月报样张.html,CEO/CFO,待确认,确认样张足够简洁,后续正式月报按这个结构生成
安全交接,按邮箱授权安全交接说明.md 执行,管理层/IT/开发,待确认,授权密码只进入腾讯云环境变量,不通过微信或 GitHub 传递
第一版范围,不接完整会计系统 API,管理层,待确认,确认第一版先做邮件附件导入,降低实施复杂度
