系统字段,是否必填,会计导出列名,示例,系统处理规则,缺失时处理
月份,必填,月份,2026-06,用于判断本次导入归属月份,整批进入待确认
日期,必填,日期,2026-06-30,用于排序和追溯凭证,整批进入待确认
法人主体,必填,法人主体,杭州微新,用于区分杭州微新和深圳微智,该行进入待确认
会计科目,必填,会计科目,研发费用-人员人工,含研发费用的先进入候选研发费用,该行进入待确认
摘要,必填,摘要,化妆品新原料研发人员工资,用于判断项目和费用性质,该行进入待确认
金额,必填,借方金额,56000,用于更新研发投入金额,该行不导入
凭证号,建议,凭证号,记-2026-06-018,用于追溯和去重,允许导入但标记缺凭证号
部门或项目,建议,部门或项目,化妆品新原料项目,用于自动匹配项目,无法匹配时进入待确认
项目编号,建议,项目编号,SZ2025WZ-001,优先按项目编号自动匹配,无编号时按项目名称或摘要匹配
费用类别,建议,费用类别,人员人工,用于判断是否需要分摊,无类别时按科目和摘要推断
人员姓名,可选,人员姓名,张三,人员费用分摊时使用,非人员费用可为空
分摊比例,可选,分摊比例,50%,人员费用分摊时使用,缺失时进入待确认
备注,可选,备注,6月研发人员分摊,给负责人审核时参考,不影响导入
